cluster_name,skos,manual_mapped_cid,cell_ontology_id
DC1,,,CL:0000990
DC2,,,CL:0000451
Differentiated_KC,,,CL:0000312
F1,,,CL:0002620
F2,,,CL:0002620
F3,,,CL:0002620
ILC1_3,,,CL:0001065
ILC1_NK,,,CL:0001065
ILC2,,,CL:0001065
Inf_mac,,,CL:0000863
LC,,,CL:0000453
LE1,,,CL:0002138
LE2,,,CL:0002138
Macro_1,,,CL:0000235
Macro_2,,,CL:0000235
Mast_cell,,,CL:0000097
Melanocyte,,,CL:0000148
MigDC,,,CL:0000451
Mono_mac,,,CL:0000235
NK,,,CL:0000623
Pericyte_1,,,CL:0000669
Pericyte_2,,,CL:0000669
Plasma,,,CL:0000786
Schwann_1,,,CL:0002573
Schwann_2,,,CL:0002573
Tc,,,CL:0000910
Th,,,CL:0000912
Treg,,,CL:0000815
Undifferentiated_KC,,,CL:0000312
VE1,,,CL:0002139
VE2,,,CL:0002139
VE3,,,CL:0002139
migLC,,,CL:0000453
moDC,,,CL:0011031
