,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (cardiac),"Myocyte (cardiac, cytoplasmic)",Pericyte/SMC,Schwann cell
RERE,1.8793719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9314786,0.0,0.0,0.0
UBE4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3148127,0.0,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2227036,0.0,0.0,0.0
CASZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862784,0.0,0.0,0.0
VPS13D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8663228,0.0,0.0,0.0
UQCRHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900949,0.0,0.0
HSPB7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5727403,0.0,0.0
PLA2G5,0.0,0.0,0.0,2.0664263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.532619,0.0
EIF4G3,1.1846776,0.0,0.0,0.0,2.3582447,2.0873346,0.0,0.0,0.0,1.0927799,0.0,0.0,0.0
MYOM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65752,0.0,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957485,0.0,0.0,2.0666966
RSRP1,0.0,0.0,0.0,0.0,0.94251806,0.0,0.0,0.0,0.0,0.7094885,0.0,0.0,0.0
ATP5IF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1556602,0.0,0.0
PHACTR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78386027,0.0,0.0,0.0
EPB41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809334,0.0,0.0,0.0
FABP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6763494,0.0,0.0
ZMYM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5444734,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143825,0.0,0.0
MACF1,1.7663836,2.2573764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9493465,0.0,0.0,0.0
SCMH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1946967,0.0,0.0,0.0
HIVEP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0509238,0.0,0.0,0.0
PTPRF,1.3565243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAST2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1068124,0.0,0.0,0.0
UQCRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.952241,0.0,0.0
FAF1,1.3363289,1.3627639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7446094,0.0,0.0,0.0
EPS15,0.0,1.3938415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249558,0.0,0.0,0.0
OSBPL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253299,0.0,0.0,0.0
NRDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038433,0.0,0.0,0.0
TUT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0177985,0.0,0.0,0.0
ECHDC2,1.8440324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3553485,0.0,0.0,0.0
ACOT11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9091167,0.0,0.0,0.0
PRKAA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5948784,0.0,0.0,0.0
NFIA,2.541549,2.7019117,1.916008,2.7097318,0.0,0.0,0.0,0.0,0.0,2.2469082,0.0,0.0,0.0
PATJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1846135,0.0,0.0,0.0
ROR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2543173,0.0,0.0,0.0
SRSF11,1.4756366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,3.797128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339054
ST6GALNAC3,0.0,3.0765066,3.3703907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP33,1.3673235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.394913,2.4416168,0.0,0.0
ADGRL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6845112,0.0,0.0,0.0
TGFBR3,1.994044,0.0,0.0,2.3605642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVI5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091201,0.0,0.0,0.0
DPYD,1.5466028,0.0,0.0,2.2217746,0.0,3.2754865,0.0,0.0,0.0,0.8709091,0.0,0.0,0.0
PALMD,1.7934282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2341509,0.0,0.0,0.0
LRRC39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4978855,0.0,0.0,0.0
VAV3,0.0,2.2203095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSDE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6621758,0.0,0.0
CASQ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6866597,0.0,0.0
RNF115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4476459,0.0,0.0,0.0
