filename,s3_path
cluster_stats.log,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/cluster_stats.log
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_2D_projection.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_2D_projection.html
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_2D_projection.svg,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_2D_projection.svg
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_X_umap_dataset_summary.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_X_umap_dataset_summary.csv
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_adata_filtered.h5ad,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_adata_filtered.h5ad
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_annotation.json,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_annotation.json
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores.csv
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores.pkl
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores_symbols.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores_symbols.csv
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores_symbols.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_binary_scores_symbols.pkl
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_boxplot_f_score.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_boxplot_f_score.html
liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_boxplot_onTarget.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8cce05e58f854e0b3e6a6/results/liver_Andrews_Hepatol_Commun_2022_author_cell_type_X_umap_3d10a5_boxplot_onTarget.html
