,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
PLA2G5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977840006351471,0.0,0.0,0.9375,0.0,0.0
HP1BP3,0.0,0.0,0.0,0.0,0.9498779624700546,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.8125,0.0,0.8781805075705051,0.853656716644764,0.8158023096621037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPG2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.375,0.0,0.0,0.5240961536765099,0.0,0.0,0.0,0.4680747166275978,0.5643738694489002,0.5401783138513565,0.0,0.41602935642004013,0.47066034376621246,0.43002450838685036,0.45441827923059464,0.5006329640746117,0.4211191423237324
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
