,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79601645,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36842042,0.0,0.0,1.2775927,0.0,0.0,0.8414366,0.8633868,0.8155883
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.7506224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77516705,0.0,0.0,1.057134,0.0,0.0,0.8163501,0.77215034,0.0
ENSG00000160075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6200968,0.0,0.0,0.880717,0.0,0.0,0.82713544,0.8305143,0.0
ENSG00000078369,0.0,0.0,0.0,0.0,0.8538656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5905584,0.0,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445707,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,3.2580965,3.1334877,0.0,2.6797059,0.0,0.0,0.0,2.6992283,2.927711,2.953168,0.0,2.7996826,2.707988,2.9089227,3.2882018,3.202887,3.1366615
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814803,0.0,0.0
ENSG00000049246,0.0,0.0,0.0,0.0,0.0,0.0,0.90037656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.0,0.0,0.0,1.4691639,0.0,0.0,0.0,0.9105396,1.6990104,1.2476084,0.0,1.4034876,1.4753764,1.0950253,1.5026122,1.4111761,2.2545717
ENSG00000116285,0.0,0.0,1.5512731,0.0,0.0,0.0,3.3178272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.0,0.0,2.2966218,0.0,2.1763444,2.2096465,1.9299668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116158,2.1162047,1.7532386,0.0,0.78704184,1.1314597,0.0,1.9972318,1.830539,1.1842839
ENSG00000180758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2488782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049239,0.0,0.0,0.0,0.0,0.0,0.0,0.8934406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130939,0.0,0.0,0.0,0.0,0.0,0.0,0.8352902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054523,0.0,0.0,0.0,0.0,0.0,0.0,0.9749645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142655,0.0,0.0,0.0,0.0,0.0,0.0,0.98166335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009724,0.0,0.0,0.0,0.0,0.0,0.0,0.34262675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1963849,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479842,0.0,1.2447848,0.0,0.0,0.0,0.0,0.0,0.68179375,0.0
ENSG00000048707,0.0,0.0,0.0,0.0,0.0,0.0,1.0164652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162496,0.0,0.0,0.0,0.0,0.0,0.0,0.60408807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189337,0.0,0.0,0.0,0.0,0.0,1.971897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.0,1.9734956,0.0,0.0,0.0,0.0,0.8381089,0.0,0.0,0.0,0.0,0.0,0.98961174,1.0641084,0.0
ENSG00000197312,0.0,0.0,0.0,0.0,0.0,0.0,0.97795635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065526,0.0,0.0,0.0,0.0,0.0,0.0,0.6734229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000037637,0.0,0.0,0.0,0.0,0.0,0.0,0.78818476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6773982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215908,0.0,0.0,0.0,0.0,0.0,0.0,0.65786475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074964,0.0,0.0,0.0,0.0,0.0,0.0,1.5316528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127481,0.0,0.0,0.0,0.0,0.0,0.0,0.89902043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64963496,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,1.1776347,0.0,0.0,0.0,1.2144812,1.5931654,1.4446672,0.0,0.0,1.2416258,0.0,1.4448247,1.2975402,1.0782378
