,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
SMG6,0.0,0.0,0.0,0.0,0.0,0.0,0.71318233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.72719204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84535974,0.914263,1.2369204,0.0,0.0,0.0,0.0,0.0,0.8405739,0.0
CXCL16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551029,1.3297632,0.0,0.0,0.0,0.0,0.0,1.3621337,0.95403695,0.0
VMO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1253078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMB6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91276795,0.0,0.0,1.1926137,0.0,0.0,1.0379725,0.9406024,0.0
PFN1,1.847626,1.835127,0.0,2.9981103,0.0,0.0,0.0,2.0008807,3.2230978,2.7235873,0.0,1.4699372,2.9050517,2.5554028,2.8075736,2.6801276,2.5963187
SPAG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5850998,0.0,0.0
RABEP1,0.0,0.0,0.0,0.0,0.0,0.0,0.4343353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673605,1.1046486,0.9378546
DERL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66993356,0.0,0.0,0.0,0.0,0.0
SLC13A5,0.0,0.0,0.0,0.0,0.0,0.0,1.9779768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAF1,0.0,0.0,0.0,0.0,1.1734545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC10A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4694216,0.0
ASGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.6422426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASGR1,0.0,0.0,0.0,0.0,0.0,0.0,1.6669071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.0,0.0,0.0,0.0,0.9028181,0.0,0.0,0.0,0.0,1.0800302,0.0,0.0,0.5702665,0.0,0.0
EIF5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2335019,0.0,0.0,1.2761012,0.0,0.0,1.1777903,1.016559,1.0109096
ACAP1,0.0,0.0,0.0,1.2358801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7428575,1.5757478,0.0,0.0,0.37168777
TMEM256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630581,0.0,0.0,0.0,0.0,0.0
EIF4A1,1.4359394,0.0,0.0,1.739947,0.0,0.0,0.0,2.4277172,2.241335,2.4779685,0.0,1.7527652,1.8956552,1.720094,2.2592947,2.511632,2.0840933
CD68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470619,0.0,1.7971969,0.0,0.0,0.0,0.0,0.0,0.0,1.2290831
SAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482132,0.0,0.0,0.0,0.0,0.0
NAA38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55089664,0.0
TRAPPC1,0.0,0.0,0.0,1.0669763,0.0,0.0,0.0,0.0,1.1223528,1.1699181,0.0,0.0,1.260133,0.0,1.3591001,1.2308803,1.3065045
VAMP2,0.89331853,0.0,0.0,1.3743395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954493,1.150665,0.0,0.6540077,0.0,0.82214546
RPL26,3.846006,3.7250698,0.0,3.4308128,0.0,0.0,0.0,3.2934463,3.7016203,3.8481596,2.5532148,3.4768274,3.301003,3.5568388,3.8672385,3.948178,3.6416688
NTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.9962158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
