cluster,count
Proximal tubule,27497
CD4 T cell,2435
NK cell,1322
CD8 T cell,991
B cell,975
NKT cell,733
Thick ascending limb of Loop of Henle,675
Peritubular capillary endothelium 1,666
Glomerular endothelium,622
MNP-a/classical monocyte derived,555
Indistinct intercalated cell,429
MNP-b/non-classical monocyte derived,375
Proliferating Proximal Tubule,348
Ascending vasa recta endothelium,300
Type A intercalated cell,275
Epithelial progenitor cell,238
MNP-c/dendritic cell,220
Descending vasa recta endothelium,192
Peritubular capillary endothelium 2,185
Connecting tubule,157
Distinct proximal tubule 2,151
Pelvic epithelium,136
Podocyte,126
Type B intercalated cell,125
Myofibroblast,122
Principal cell,88
MNP-d/Tissue macrophage,87
Distinct proximal tubule 1,65
Neutrophil,46
Transitional urothelium,45
Mast cell,41
Plasmacytoid dendritic cell,23
Fibroblast,23
