author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
Differentiated keratinocytes I,0.036103145649338586,0.2705021109368874,0.0596903224246392,3100
Differentiated keratinocytes II,0.07290147538846042,0.2824840773505927,0.1508086101195338,3010
Endothelial cells,0.6762184923145967,0.14447975455918025,0.7155917990059066,370
Fibroblasts I,0.2020851587702974,0.28403140823664585,0.2771170231309054,2069
Fibroblasts II,0.5446892033645364,0.13944240595953805,0.5676923351033532,976
Immune,0.5113160054272767,0.19291632074025922,0.5850718124602349,612
Melanocytes/melanocyte-like,0.5596413133112363,0.13268547128790276,0.5817144738397867,467
Pericytes,0.6329428588491414,0.15482976607990737,0.682746181982347,623
Terminally differentiated keratinocytes,0.526802788284659,0.2886825990197841,0.6328007080500615,848
Undifferentiated keratinocytes I,0.36090286588049564,0.23026416502009744,0.421442409959784,2580
Undifferentiated keratinocytes II,0.3883479385481199,0.32740516671559844,0.5268908577070022,588
