,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9563539,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,1.2961895,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.7975221,0.45157182,0.0,0.0,0.0,0.0,0.0,0.0,0.7287016,0.0,0.6695632
ENSG00000242485,0.57596517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45283133,0.0,0.0
ENSG00000160075,0.65607536,0.575369,0.0,0.0,0.0,0.0,0.0,0.0,0.66635454,0.66177213,0.64976114
ENSG00000197530,0.5791373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24605727,0.63084805,0.506536
ENSG00000078369,0.5155295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157916,0.53122663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264999,0.0,0.566167
ENSG00000116251,3.0793009,3.0884569,2.9780312,2.6980278,2.6351202,2.8768053,2.3144243,2.9866462,2.5974216,2.9958868,3.0432189
ENSG00000162413,0.0,0.66016096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.4746899,0.66970074,0.0,0.0,0.0,0.0,0.0,0.0,0.32788938,0.7940852,0.79282457
ENSG00000116288,0.44467866,0.0,0.0,0.0,1.0073793,0.0,0.0,1.4116452,0.0,0.9066082,1.0489919
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77872837,0.0
ENSG00000074800,1.3774648,1.1981864,0.0,0.0,0.98475266,0.0,0.0,0.0,0.69642574,1.339543,1.6681191
ENSG00000171603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70255363,0.0
ENSG00000178585,1.6759017,1.217571,0.0,0.0,0.0,0.0,0.0,0.0,2.06847,0.0,0.6575787
ENSG00000130940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4492485,0.0,0.0
ENSG00000142627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4529642,0.0,0.0
ENSG00000169991,0.26758188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3626239,0.0,0.0
ENSG00000127481,0.4215641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3031552,0.0,0.0
ENSG00000077549,0.8425267,0.63869923,0.0,0.0,0.7107694,0.0,0.0,0.0,0.76310694,0.6737292,0.7274543
ENSG00000173436,0.81712556,0.57168555,0.0,0.0,0.0,0.0,0.0,0.0,0.6974585,0.0,0.81499684
ENSG00000158747,0.64765704,0.0,0.0,0.0,0.94284797,0.0,0.0,0.0,0.0,0.6205846,0.7524626
ENSG00000127483,0.40017766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67206013
ENSG00000142798,0.0,0.0,1.4597099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000070831,1.2423334,1.1360569,1.1260839,0.0,0.9095293,0.0,0.0,0.0,1.2980886,1.1444995,1.0349989
ENSG00000125944,0.33626425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7213752
ENSG00000117318,0.9425945,0.9761143,2.0295296,0.0,0.0,0.0,0.0,0.0,0.0,1.218074,1.2236482
ENSG00000142676,3.9903665,4.0689077,3.9934824,3.5538504,3.5072222,3.9708407,3.0188568,3.7250228,3.463603,3.9489057,3.922531
ENSG00000057757,0.66610205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639256,0.0,0.67206013
ENSG00000158055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516203,0.0,0.0
ENSG00000133226,0.5545631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7345511
ENSG00000117614,0.61482286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39638963,0.71766835,0.70778733
ENSG00000117616,0.9981271,0.92365867,0.0,0.0,0.0,0.0,0.0,0.0,1.0915427,0.9026656,0.73915005
ENSG00000183726,0.75419724,0.5504613,0.0,0.0,0.0,0.0,0.0,1.0582998,0.8531501,0.61104524,0.62272155
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5688653
ENSG00000142669,1.492717,1.4551144,1.5107557,0.0,1.671058,2.4475222,0.0,0.0,1.6203955,1.4316807,1.1042454
ENSG00000169442,0.0,0.0,0.0,0.0,0.0,1.4846141,0.0,0.0,0.0,0.0,0.0
ENSG00000198830,0.7372955,0.0,0.0,0.0,0.85429204,0.0,0.0,0.9600639,0.33010536,0.97557336,1.654695
ENSG00000175793,3.6564865,4.1033297,0.0,0.0,0.0,0.0,0.0,0.0,3.7528334,3.8588328,3.4058757
ENSG00000090273,0.29605907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5739274
ENSG00000158246,0.83926505,0.784475,0.0,0.0,0.0,0.0,0.0,0.0,0.9552655,0.0,0.54998016
ENSG00000142765,0.6822048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63534915,0.0,0.4051301
ENSG00000158195,0.69120294,0.0,0.80957395,0.0,0.0,0.0,0.0,0.0,0.75140905,0.0,0.6780231
ENSG00000126698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4461518
ENSG00000130770,1.1045642,0.8075769,0.0,0.0,0.0,0.0,0.0,0.0,0.8667315,0.8153304,1.0449121
ENSG00000204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32545727,0.0,0.0
ENSG00000197989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707005,0.5592121
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,1.2404461,0.0,0.0,0.0,0.0,0.0
ENSG00000134644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51925206,0.0,0.0
ENSG00000142910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820344,0.0,0.0,0.0
ENSG00000184007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42646676
ENSG00000121774,0.38779846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8026186
ENSG00000084623,0.8261687,0.77027595,0.0,0.0,0.0,0.0,0.0,0.0,0.49721944,0.8554566,0.85590625
ENSG00000121900,0.7787713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497281,0.0,0.0
ENSG00000188910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42468143,0.0,0.0
ENSG00000116560,0.9266214,1.1348141,0.0,0.0,0.0,0.0,0.0,0.0,1.0777589,0.96822,1.1001155
ENSG00000126067,0.40508264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54706776
ENSG00000054116,0.34930435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48638666
ENSG00000116871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76832515,0.0,0.0
ENSG00000116898,0.30360734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15482576
ENSG00000163874,0.0,0.76253664,0.0,0.0,0.0,0.0,0.0,0.0,0.6711705,1.2744282,0.859602
ENSG00000185668,0.34932888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168653,1.3739355,1.1995211,0.8946904,0.93034774,1.2451426,0.0,0.0,1.717464,1.1670403,1.3163091,1.4907284
ENSG00000127603,0.60278386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107932,0.0,0.17680377
ENSG00000168389,0.37276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131236,0.50193965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609645,0.0,0.0
ENSG00000127125,0.51706254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38479388,0.0,0.0
ENSG00000065978,1.9605374,1.9799247,2.0439796,1.4637783,1.8202345,1.569572,0.0,2.1178484,1.2277712,2.1807556,2.3159657
ENSG00000117394,0.40657926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341313,0.33288655
ENSG00000066322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208064,0.0,0.0
