clusterName,gene
MUC5B+ ductal cells,PIGR
MUC5B+ ductal cells,PCSK5
Ductal cells,CFTR
Ductal cells,SLC4A4
Acinar-mix,PGGHG
Acinar-mix,LINGO1
Secretory acinar cells,SYCN
Stressed beta cells,DDIT3
Stressed beta cells,PPP1R15A
Stressed beta cells,GNL3
Beta cells,SAMD11
Beta cells,HOPX
Delta cells,HHEX
Delta cells,AKAP12
Alpha cells,IRX2
Gamma cells,PPY
Endothelial cells,PLVAP
Endothelial cells,FLT1
Quiescent stellate cells,ACTA2
Activated stellate cells,COL6A3
Activated stellate cells,COL6A1
Idling acinar cells,CHRM3
Macrophages,ZEB2
Macrophages,CD74
