,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
ACTR2,0.0,0.0,0.5033782,0.22593826,0.19544503,0.0,0.0,0.61613303,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3,0.0,0.0,0.62306833,0.23534921,0.4904505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP2,0.0,0.0,0.0,0.0,0.28072384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,0.0,0.0,0.37858695,0.27987233,0.31451166,0.0,0.0,0.56248116,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1,0.0,0.0,0.0,0.673117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49164355
ADGRG1,0.0,0.0,0.0,0.36077636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR1,0.0,0.0,0.4284109,0.38116837,0.25935775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42955074
ADRM1,0.0,0.0,0.6407097,0.37529814,0.5964494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48489565
AFF4,0.0,0.0,0.0,0.1698398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT2,0.0,0.0,0.46976,0.32208133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL1,0.0,0.0,0.0,0.29838532,0.0,0.0,0.0,0.37393582,0.0,0.0,0.0,0.0,0.0,0.0
AHI1,0.0,0.0,0.5581838,0.48785505,0.60676146,0.0,0.0,0.6075713,0.0,0.0,0.0,0.0,0.0,0.39720586
AHSA1,0.0,0.0,0.0,0.0,0.2583456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3932654
AIG1,0.0,0.0,0.2786621,0.20095798,0.11523187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIMP1,0.0,0.0,0.50740916,0.22323112,0.43538237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1,0.0,0.0,0.50450647,0.0,0.6116222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,0.0,0.0,0.6805641,0.42145503,0.46750137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28533486
AK3,0.0,0.0,0.44347084,0.2572655,0.30916008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP12,0.0,0.0,0.0,0.0,0.5258242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP13,2.4374537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP9,1.7481267,0.0,0.655418,0.6493512,0.7743584,0.0,0.0,1.0168703,0.0,0.0,0.0,0.0,0.0,0.366471
AKIRIN1,0.0,0.0,0.36378166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1A1,0.0,0.0,0.54368067,0.41581807,0.5453369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41409752
AKR7A2,0.0,0.0,0.35775608,0.27876514,0.36711752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.41793385,0.37876472,0.4511246,0.0,0.0,0.48808986,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,0.0,0.0,1.8630965,0.48415947,0.4669454,0.0,0.0,1.9411298,0.0,0.0,0.0,0.0,0.0,0.0
ALDOA,0.0,0.0,1.8026617,1.4075644,2.1032264,0.0,0.0,0.25812656,0.0,0.0,0.0,0.0,0.0,1.2751712
ALG5,0.0,0.0,0.46671227,0.3307438,0.38150695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44027093
ALKBH5,0.0,0.0,0.40984803,0.3080937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43241802
ALKBH7,0.0,0.0,0.53180444,0.5465846,0.56222653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190656
AMY2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7879891,0.0
AMY2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1338842,0.0
AMZ2,0.0,0.0,0.0,0.23459488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31826633
ANAPC11,0.0,0.0,1.4372277,1.0314751,1.1680636,0.0,0.0,0.4909699,0.0,0.0,0.0,0.0,0.0,0.72215897
ANAPC13,0.0,0.0,0.75072575,0.6353568,0.6468112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6849004
ANAPC16,0.0,0.0,0.93071985,0.95521617,0.79417616,0.0,0.0,0.49067995,0.0,0.0,0.0,0.0,0.0,0.7251671
ANAPC5,0.0,0.0,0.28681406,0.294268,0.3339544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346932
ANKH,0.0,0.0,0.0,0.19114499,0.0,0.0,0.0,0.40964735,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19942436,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD12,0.0,0.0,0.6515356,0.53630936,0.49429697,0.0,0.0,0.70346,0.0,0.0,0.0,0.0,0.0,0.47217757
ANP32A,0.0,0.0,0.39281166,0.0,0.28564563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
