,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
A1BG,0.0,0.0,0.7877315099422748,0.7692307692307693,0.7727157381864694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7792373024500333
AAMP,0.0,0.0,0.9331483749242929,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,0.8777096638312707,0.8461538461538461,0.0,0.0,0.9073822223223172,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277180387423589
LINC01320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACAA2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.7771787184935349,0.6923076923076923,0.715612686597384,0.0,0.0,0.7238627626345708,0.0,0.0,0.0,0.0,0.0,0.7194174803220309
ACAT1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.954725980758667,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP1,0.0,0.0,0.8202313413986793,0.7419193020233741,0.7723724566973172,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.7200608115929824
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACTB,0.0,0.0,0.7774930596351624,0.7004995804566604,0.7529980356876667,0.0,0.0,0.7054148362233088,0.0,0.0,0.0,0.0,0.0,0.6923076923076923
ACTN1,0.0,0.0,0.9258414827860318,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR10,0.0,0.0,0.8515177369117737,0.7692307692307693,0.7995146100337689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79854377416464
ACTR2,0.0,0.0,0.8586837878594031,0.7796125136888944,0.7692307692307693,0.0,0.0,0.884545229948484,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3,0.0,0.0,0.910393857038938,0.8461538461538461,0.8861643626139715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,0.0,0.0,0.8023071885108948,0.7692307692307693,0.777702835889963,0.0,0.0,0.8669396868118873,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1,0.0,0.0,0.0,0.9438155110065753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231
ADGRG1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR1,0.0,0.0,0.808067615215595,0.7938132056823144,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8085769277352554
ADRM1,0.0,0.0,0.8251166251989511,0.7692307692307693,0.8121391718204205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866171415035541
AFF4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT2,0.0,0.0,0.9472592656428998,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL1,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.9386185636887183,0.0,0.0,0.0,0.0,0.0,0.0
AHI1,0.0,0.0,0.7241839720652654,0.7066008998797491,0.7401074492014371,0.0,0.0,0.7404538713968717,0.0,0.0,0.0,0.0,0.0,0.6923076923076923
AHSA1,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494673609733582
AIG1,0.0,0.0,0.9127175945502061,0.8789682480005118,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIMP1,0.0,0.0,0.9001543888678918,0.8461538461538461,0.8836365938186646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1,0.0,0.0,0.9230769230769231,0.0,0.9365487557191116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,0.0,0.0,0.867271730533013,0.7940751360012934,0.8067811131477356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
AK3,0.0,0.0,0.9017495696361248,0.8461538461538461,0.8590658948971674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP9,0.8476404822789706,0.0,0.650008880175077,0.6488950114983779,0.680136488034175,0.0,0.0,0.7380749858342684,0.0,0.0,0.0,0.0,0.0,0.6153846153846154
AKIRIN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1A1,0.0,0.0,0.80565568116995,0.7695490580338699,0.8062459184573247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
AKR7A2,0.0,0.0,0.863138116323031,0.8461538461538461,0.8666280783139743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.7764400702256423,0.7692307692307693,0.7872286347242502,0.0,0.0,0.8033427687791678,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,0.0,0.0,0.8838079342475305,0.7719657329412607,0.7692307692307693,0.0,0.0,0.8884788476503812,0.0,0.0,0.0,0.0,0.0,0.0
ALDOA,0.0,0.0,0.7975846162209144,0.7623594724214994,0.8265111033733075,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.7536596151498648
