Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Acinar-mix,0.70261955,0.13986504,0.74736196,3433
Activated stellate cells,-0.33240095,0.16490866,-0.29845387,2066
Alpha cells,0.18188697,0.303709,0.29853415,17540
Beta cells,-0.11080965,0.34083968,-0.040794425,14594
Delta cells,0.20343183,0.30727753,0.34876242,3662
Ductal cells,-0.13424069,0.2764125,-0.06390335,18107
Endothelial cells,0.05748671,0.27809694,0.15891458,2106
Gamma cells,0.1420086,0.2921117,0.2815982,336
Idling acinar cells,0.33388737,0.2849041,0.43047833,35308
MUC5B+ ductal cells,0.6290337,0.14447698,0.6904048,62
Macrophages,0.42344624,0.25887167,0.5406487,551
Quiescent stellate cells,0.67325664,0.118702896,0.719513,142
Secretory acinar cells,-0.100403845,0.27917492,-0.08465199,21444
Stressed beta cells,0.3959803,0.19086492,0.4449641,2565
