,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
GNG12,0.0,0.35774964,0.0,0.0,0.0,0.54135823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,1.0411627,1.1998585,0.0,0.7863357,0.0,1.212431,1.1126957,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233116
GNG5,0.7807056,1.0187023,0.0,0.85265404,1.0698613,0.9687014,0.0,0.0,0.0,0.0,0.0,0.0,0.92443746
CCN1,0.0,1.604973,0.0,0.0,0.0,0.0,1.4969426,0.0,0.0,1.2096728,0.0,0.0,0.0
SELENOF,0.0,0.0,0.0,0.76489455,0.0,0.2544973,1.1766069,0.0,0.0,0.0,0.0,0.0,0.0
RPL5,3.010201,3.0081673,0.0,2.9460104,2.5408182,2.7390177,2.8028677,3.0762434,2.8035953,2.6555877,2.5891967,2.715643,2.8376768
DR1,0.0,0.5061236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP29,0.0,0.0,0.0,1.2180905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3357089
CNN3,0.0,0.0,0.0,1.5838957,0.0,0.0,1.7186849,1.2722051,1.1829473,1.0540189,0.0,0.0,1.1914955
PRPF38B,0.814138,0.8590491,0.0,0.0,0.0,0.64993465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNAI3,0.37426782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMTOR5,1.034102,1.0613807,0.0,0.4865234,0.0,1.4528933,0.0,0.0,0.0,0.0,0.0,0.0,0.37017536
CAPZA1,0.73389983,0.55211323,0.0,0.0,0.0,0.40139037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOC,0.0,0.0,0.0,1.1341028,0.0,1.0194944,0.0,0.0,0.0,0.0,0.0,0.0,1.1159067
OLFML3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021225,0.0,0.0
CSDE1,0.68875134,0.7467469,0.0,0.0,0.0,0.5612061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,0.87394905,0.9129885,0.0,0.0,0.0,0.6641624,0.0,0.0,0.0,0.0,0.0,0.0,1.3053269
MCL1,1.4567697,1.3253357,0.0,0.0,1.7051066,1.0788116,0.0,0.916322,0.0,0.0,0.0,1.6606203,0.862753
ENSA,0.74465054,0.34971768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSK,0.0,0.0,0.0,0.0,0.0,0.0,2.029057,0.0,1.4196757,1.8250191,2.5213127,0.0,0.0
S100A10,2.2258174,2.5586402,0.0,3.2710285,3.0886211,2.90936,3.0358422,1.5122008,2.9089227,3.1886563,3.2840476,2.7022362,2.6417544
S100A11,2.9930573,2.9297335,0.0,1.6920012,2.5086195,2.6220014,1.9508997,1.576821,2.1631196,1.9834299,2.349342,1.8141905,1.8770915
S100A6,1.766987,2.348057,0.0,3.7412307,3.7588663,3.2548969,3.9476833,3.5353084,4.1175857,4.348843,4.535794,3.2599013,3.6053398
S100A4,1.4076692,1.4689064,0.0,2.520426,3.5079546,2.098709,2.9690752,3.1827664,3.0038161,3.038826,3.3250816,3.6946821,2.261987
S100A2,2.3549342,4.3969665,0.0,1.5007256,0.0,2.185927,0.0,0.0,0.0,0.0,0.0,0.0,1.299477
S100A16,1.874529,1.6611384,0.0,1.1167355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2878017
S100A14,3.194661,2.7005212,0.0,0.0,0.0,1.4511392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A13,0.0,0.0,0.0,1.3081813,0.0,0.6870288,0.0,0.0,1.6582079,1.4268504,1.7409158,0.0,1.1587011
ILF2,0.0,0.45959374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JTB,0.0,0.0,0.0,0.0,0.0,0.44533294,0.0,0.0,0.0,0.0,0.8427558,0.0,0.0
RPS27,4.623991,4.6075997,0.0,4.4640646,4.4497128,4.207229,4.3501835,4.368889,4.549243,4.3990088,4.3633184,4.9886975,4.344277
TPM3,0.0,0.0,0.0,0.97907114,1.1670921,0.884929,0.0,0.0,0.0,0.0,0.0,0.0,1.4114106
KRTCAP2,0.0,0.0,0.0,1.083187,0.0,0.6542294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
