,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.9166666666666666,0.0,0.0,0.0,0.0,0.9570978482564291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.8660813520352045,0.8333333333333334,0.0,0.0,0.0,0.8740828732649485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.12993866205215454,0.12198071678479512,0.0,0.13163527846336365,0.10189735392729442,0.0920454313357671,0.10207738478978474,0.12307147681713104,0.09051032364368439,0.09063129127025604,0.08333333333333333,0.14748409390449524,0.0957329918940862
CAMTA1,0.6823019435008367,0.7104215174913406,0.0,0.6666666666666666,0.0,0.720722903807958,0.0,0.7145655651887258,0.0,0.0,0.0,0.0,0.0
PARK7,0.0,0.6666666666666666,0.0,0.7162536084651947,0.0,0.7146693964799246,0.7395946780840555,0.7376127590735754,0.0,0.0,0.0,0.0,0.0
ERRFI1,0.9166666666666666,0.9468617687622706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENO1,0.6211067140102386,0.6754228919744492,0.0,0.5833333333333334,0.6235263894001642,0.6380096723635992,0.0,0.0,0.0,0.0,0.0,0.0,0.5995859404404958
CTNNBIP1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.0,0.0,0.0,0.9217872967322668,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICOS10,0.9263952920834223,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBL1,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8879978954792023,0.8985843608776728,0.0,0.0
CDC42,0.1051992525657018,0.08892765641212463,0.0,0.1955913950999578,0.2061192492643992,0.16032088299592337,0.09812757869561513,0.0865922470887502,0.08333333333333333,0.1011533538500468,0.10399688283602397,0.2201529194911321,0.13580963015556335
ID3,0.0,0.0,0.0,0.5,0.0,0.0,0.5157503982385,0.5150215228398641,0.5578542600075403,0.6822062333424886,0.6282841364542643,0.0,0.5105315645535787
RPL11,0.14399231473604837,0.1150495211283366,0.0,0.12007697423299153,0.09531966348489125,0.08592962721983592,0.08957205712795258,0.08530781169732411,0.10379455486933391,0.08777045210202535,0.08333333333333333,0.14209878941377005,0.11025411387284596
SRRM1,0.8542006860176722,0.8810073882341385,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSRP1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.7599571297566096,0.75,0.0,0.7517664134502411,0.0,0.7912129163742065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.9166666666666666,0.0,0.9217939128478368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.20147458215554556,0.19242494801680246,0.0,0.19632684687773386,0.3398744761943817,0.22357515494028726,0.17384099463621774,0.0,0.16666666666666666,0.18849500020345053,0.2909107009569804,0.373461311062177,0.22792632381121317
CD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HMGN2,0.0,0.6015261312325796,0.0,0.6033631463845571,0.0,0.6394317199786504,0.7312820156415304,0.6864043672879537,0.0,0.0,0.0,0.0,0.5833333333333334
SFN,0.8347324182589849,0.8277866442998251,0.0,0.6696647157271703,0.0,0.7202948977549871,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
NUDC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,0.7923734734455744,0.75,0.0,0.761908491452535,0.0,0.7739548335472742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.0,0.0,0.0,0.8333333333333334,0.83400526146094,0.0,0.0,0.0,0.0,0.0,0.0,0.9005350867907206,0.0
TINAGL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,0.0,0.0,0.0,0.0,0.9337520400683085,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHDRBS1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCKSL1,0.0,0.0,0.0,0.9306358446677526,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.6426797161499659,0.7094139754772186,0.0,0.5865310778220495,0.0,0.653254359960556,0.0,0.5868492970863978,0.0,0.0,0.0,0.0,0.5833333333333334
MEAF6,0.8592914690574011,0.8532181431849798,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.19215787947177887,0.19267063836256662,0.0,0.19379474222660065,0.0,0.22171174983183542,0.1994879295428594,0.2681061973174413,0.18245143194993338,0.19577825566132864,0.17447025080521902,0.28391193350156146,0.16666666666666666
YBX1,0.0933515727519989,0.1195374180873235,0.0,0.19955928126970926,0.1909411499897639,0.14490373929341635,0.09345684945583344,0.12926659484704336,0.09805103639761607,0.09781956175963084,0.09443987905979156,0.08333333333333333,0.1125382383664449
SLC2A1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V0B,0.7133213380972544,0.7214013685782751,0.0,0.6666666666666666,0.7094257871309916,0.748671313126882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
