Celltype,mean_silhouette,std_silhouette,median_silhouette,count
Diff. Keratinocytes,0.5292999178084048,0.16086313316116213,0.5720766744455587,1399
EpSC and undiff. progenitors,0.4798221204496093,0.2470656591787696,0.5926791592323983,1187
Erythrocytes,0.8883916911193929,0.12483813620303574,0.9156428225222417,310
Lymphatic EC,0.9165326238132571,0.012722274869208001,0.9185625440908942,294
Macrophages+DC,0.6522735610352827,0.1580124946157887,0.6955633755442463,2228
Melanocytes,-0.03904960443828733,0.492110280659751,0.3179732393822783,123
Mesenchymal fibroblasts,0.5845383189442146,0.24507516313637945,0.6574864636288786,594
Pericytes,0.5113625006165368,0.254126665169729,0.5946477327614177,1220
Pro-inflammatory fibroblasts,0.3098074795846104,0.26148559582847125,0.3511065468593688,1793
Secretory-papillary fibroblasts,0.499058804717066,0.24158662791499297,0.5889757913924784,1675
Secretory-reticular fibroblasts,0.5316490353344508,0.22710188881848453,0.6279280812212049,1886
T cells,0.6649100739669859,0.19901705931092292,0.7364872899124287,1281
Vascular EC,0.6494688477642209,0.11163066778204578,0.6647895259190185,1467
