,Endo_Endo-Lymph,Endo_Endothelial,EpD_HF_HairFollicle,EpD_KRT0_StemCyclingKeratinocyte,EpD_KRT1_Basal,EpD_KRT2_Basalinflammatory,EpD_KRT3_earlySpinous,EpD_KRT4_diffSpinous,EpD_KRT5_Granular,Imm_DC,Imm_Langerhans,Imm_Macrophage,Imm_Mono,Imm_NK,Imm_Tc,Imm_Th,Imm_Treg,Mes_FibroDS,Mes_FibroInflammatory,Mes_FibroPapillary,Mes_FibroReticular,Mes_PeriV,Mes_PeriVInflammatory,Mixed_Erythocytes,Schwann_Melano
ENSG00000092201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134294,0.4375,0.20833333333333334,0.0,0.8214285771052042,0.6666666716337204,0.6145833333333334,0.7916666691501936,0.6145833333333334,0.708333320915699,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.20833333333333334,0.0,0.20833333333333334,0.4375,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.4375,0.20833333333333334,0.0
ENSG00000242372,0.0,0.0,0.0,0.9500000029802322,0.0,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114867,0.0,0.0,0.0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112335,0.1875,0.1875,0.1875,0.7239583333333334,0.1875,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.1875,0.4479166666666667,0.4479166666666667,0.1875,0.16666666666666666,0.1875,0.0,0.0,0.0,0.1875,0.4479166666666667,0.1875,0.4479166666666667,0.1875,0.1875,0.0,0.1875
ENSG00000100985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103994,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666
ENSG00000174373,0.0,0.4375,0.0,0.7569444254040718,0.6354166666666666,0.4375,0.6354166666666666,0.4375,0.6354166666666666,0.4375,0.4375,0.0,0.4375,0.4166666666666667,0.4375,0.6354166666666666,0.4375,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0
ENSG00000152944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114209,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141580,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0
ENSG00000022267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8958333333333334,0.7916666666666666,0.7916666666666666,0.0,0.0
ENSG00000102900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182220,0.375,0.0,0.0,0.5694444328546524,0.375,0.375,0.375,0.375,0.0,0.375,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.375,0.375,0.6770833333333334,0.375,0.375,0.0,0.375
ENSG00000135046,0.21875,0.2986111069718997,0.0,0.6319444328546524,0.5327380895614624,0.5327380895614624,0.42916666716337204,0.21875,0.16666666666666666,0.4826388880610466,0.2986111069718997,0.21875,0.25833333283662796,0.25833333283662796,0.42916666716337204,0.5327380895614624,0.0,0.2986111069718997,0.42916666716337204,0.4826388880610466,0.5859375,0.1875,0.21875,0.0,0.0
ENSG00000182185,0.0,0.0,0.0,0.9523809552192688,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
ENSG00000130826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109390,0.5416666666666666,0.0,0.5416666666666666,0.7833333412806193,0.5416666666666666,0.5416666666666666,0.7291666666666666,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.5416666666666666
ENSG00000123684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
