cluster,count
EpD_KRT1_Basal,3561
Endo_Endothelial,3238
EpD_KRT3_earlySpinous,2486
Mes_PeriV,2410
Mes_FibroInflammatory,1353
Imm_Tc,1341
Mes_PeriVInflammatory,1290
EpD_KRT4_diffSpinous,1198
EpD_KRT5_Granular,1168
Mes_FibroReticular,918
Mes_FibroPapillary,886
Mes_FibroDS,842
EpD_HF_HairFollicle,526
Imm_DC,475
EpD_KRT2_Basalinflammatory,387
Endo_Endo-Lymph,360
Imm_Macrophage,355
Imm_Th,344
EpD_KRT0_StemCyclingKeratinocyte,257
Imm_Mono,213
Schwann_Melano,204
Imm_Treg,182
Imm_NK,63
Imm_Langerhans,43
Mixed_Erythocytes,26
