cluster,n_cells,percentage
Endo_Endo-Lymph,197,1.73
Endo_Endothelial,1315,11.57
EpD_HF_HairFollicle,117,1.03
EpD_KRT0_StemCyclingKeratinocyte,50,0.44
EpD_KRT1_Basal,1322,11.63
EpD_KRT2_Basalinflammatory,271,2.38
EpD_KRT3_earlySpinous,1720,15.13
EpD_KRT4_diffSpinous,623,5.48
EpD_KRT5_Granular,462,4.06
Imm_DC,238,2.09
Imm_Langerhans,21,0.18
Imm_Macrophage,238,2.09
Imm_Mono,26,0.23
Imm_NK,14,0.12
Imm_Tc,644,5.66
Imm_Th,181,1.59
Imm_Treg,63,0.55
Mes_FibroDS,400,3.52
Mes_FibroInflammatory,858,7.55
Mes_FibroPapillary,311,2.74
Mes_FibroReticular,576,5.07
Mes_PeriV,747,6.57
Mes_PeriVInflammatory,813,7.15
Mixed_Erythocytes,7,0.06
Schwann_Melano,155,1.36
